constituency_no,constituency_name,constituency_slug,district,candidate_count_2026,party_count_2026,independent_count_2026,top_parties_2026,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,margin_2021,turnout_2021,voters_total_2026,voters_male_2026,voters_female_2026,voters_third_gender_2026,current_mla,current_mla_party,source_url,source_date
1,Gummidipoondi,gummidipoondi,Tiruvallur,15,8,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,,,,,Govindarajan T.J,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
2,Ponneri,ponneri,Tiruvallur,13,10,4,"AIADMK:1, INC:1, NTK:1, TVK:1, BSP:1",Durai. Chandrasekar,INC,Balaraman. P,ADMK,9689,78.2,248917,121221,127662,34,Durai. Chandrasekar,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
3,Tiruttani,tiruttani,Tiruvallur,13,8,6,"AIADMK:1, NTK:1, TVK:1, BSP:1, IND:6",S.Chandran,DMK,G.Hari,ADMK,29253,78.76,260084,128642,131417,25,S.Chandran,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
4,Thiruvallur,thiruvallur,Tiruvallur,14,9,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1","Raajendran, V.G.",DMK,"Ramanah, Be Vee",ADMK,22701,77.2,248651,121188,127426,37,"Raajendran, V.G.",DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
5,Poonamallee,poonamallee,Tiruvallur,11,6,6,"DMK:1, NTK:1, TVK:1, BSP:1, IND:6",Krishnaswamy A,DMK,Rajamannar S X,PMK,94110,72.99,363688,176849,186769,70,Krishnaswamy A,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
6,Avadi,avadi,Tiruvallur,20,11,10,"DMK:1, BJP:1, NTK:1, TVK:1, BSP:1",Nasar S M,DMK,Pandiarajan K,ADMK,55275,67.37,428772,209662,219035,75,Nasar S M,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
7,Maduravoyal,maduravoyal,Tiruvallur,21,10,12,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:12",Ganapathy.K,DMK,Benjamin.P,ADMK,31721,60.3,364031,179602,184349,80,Ganapathy.K,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
8,Ambattur,ambattur,Tiruvallur,23,10,14,"DMK:1, NTK:1, TVK:1, BSP:1, IND:14",Joseph Samuel,DMK,V Alexander,ADMK,42146,62.01,330480,162248,168175,57,Joseph Samuel,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
9,Madavaram,madavaram,Tiruvallur,15,8,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Sudharsanam. S,DMK,Moorthy. V,ADMK,57071,66.37,420601,205922,214596,83,Sudharsanam. S,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
10,Thiruvottiyur,thiruvottiyur,Tiruvallur,15,9,7,"AIADMK:1, NTK:1, TVK:1, BSP:1, IND:7",K.P.Shankar,DMK,K.Kuppan,ADMK,37661,65.15,240586,117181,123289,116,K.P.Shankar,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
11,Dr.Radhakrishnan Nagar,dr-radhakrishnan-nagar,Chennai,38,10,29,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:29",Ebenezer. J.J. (@)  John Ebenezer.J,DMK,Raajesh.R.S.,ADMK,42479,70.98,,,,,Ebenezer. J.J. (@)  John Ebenezer.J,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
12,Perambur,perambur,Chennai,47,17,31,"DMK:1, NTK:1, TVK:1, BSP:1, IND:31",Shekar. R.D,DMK,Dhanapalan N.R,ADMK,54976,63.0,222792,107995,114726,71,Shekar. R.D,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
13,Kolathur,kolathur,Chennai,35,12,24,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",M.K. Stalin,DMK,Aadirajaram,ADMK,70384,61.04,207251,99607,107607,37,M.K. Stalin,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
14,Villivakkam,villivakkam,Chennai,28,7,22,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:22",A . Vetriazhagan,DMK,J.C.D.Prabhakar,ADMK,37237,55.92,159764,76947,82785,32,A . Vetriazhagan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
15,Thiru-Vi-Ka-Nagar,thiru-vi-ka-nagar,Chennai,23,8,16,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:16",Sivakumar.P,DMK,Kalyani.P.L,ADMK,55013,60.62,178793,85724,93008,61,Sivakumar.P,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
16,Egmore,egmore,Chennai,18,10,9,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:9",I.Paranthamen,DMK,B.John Pandian,ADMK,38768,61.13,134879,65677,69149,53,I.Paranthamen,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
17,Royapuram,royapuram,Chennai,28,9,20,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Murthy.R.Idream,DMK,Jayakumar.D,ADMK,27779,62.6,156931,75870,81004,57,Murthy.R.Idream,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
18,Harbour,harbour,Chennai,23,6,18,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Sekarbabu. P.K,DMK,Vinoj. P. Selvam,BJP,27274,57.64,116896,58221,58620,55,Sekarbabu. P.K,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
19,Chepauk-Thiruvallikeni,chepauk-thiruvallikeni,Chennai,26,7,20,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Udhayanidhi Stalin,DMK,Kassali A.V.A,PMK,69355,58.33,163866,79412,84396,58,Udhayanidhi Stalin,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
20,Thousand Lights,thousand-lights,Chennai,18,6,13,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:13",Ezhilan N,DMK,Kushboo Sundar,BJP,32462,56.25,153908,73500,80343,65,Ezhilan N,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
21,Anna Nagar,anna-nagar,Chennai,24,9,16,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:16",M.K. Mohan,DMK,S. Gokula Indira,ADMK,27445,57.33,181402,87325,94029,48,M.K. Mohan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
22,Virugampakkam,virugampakkam,Chennai,24,10,15,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:15",Amv.Prabhakara Raja,DMK,Virugai V.N.Ravi,ADMK,18367,57.59,196536,95025,101461,50,Amv.Prabhakara Raja,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
23,Saidapet,saidapet,Chennai,15,8,8,"DMK:1, NTK:1, TVK:1, BSP:1, IND:8",Subramanian. Ma,DMK,Saidai Duraisamy,ADMK,29408,57.36,200697,96950,103685,62,Subramanian. Ma,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
24,Thiyagarayanagar,thiyagarayanagar,Chennai,26,6,21,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:21",Karunanithi J,DMK,Sathiyanaarayanan B,ADMK,137,55.99,,,,,Karunanithi J,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
25,Mylapore,mylapore,Chennai,19,10,10,"DMK:1, BJP:1, NTK:1, TVK:1, BSP:1",Velu.Dha,DMK,Nataraj.R,ADMK,12633,56.6,194731,93017,101691,23,Velu.Dha,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
26,Velachery,velachery,Chennai,27,11,17,"AIADMK:1, INC:1, NTK:1, TVK:1, BSP:1",Jmh.Aassan Maulaana,INC,M.K.Ashok,ADMK,4352,56.18,211691,102235,109411,45,Jmh.Aassan Maulaana,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
27,Shozhinganallur,shozhinganallur,Chengalpattu,27,10,18,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",S.Aravindramesh,DMK,K.P.Kandan,ADMK,35405,55.51,536991,262621,274254,116,S.Aravindramesh,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
28,Alandur,alandur,Kanchipuram,23,11,13,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:13",T.M.Anbarasan,DMK,B.Valarmathi,ADMK,40571,60.82,296052,143839,152173,40,T.M.Anbarasan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
29,Sriperumbudur,sriperumbudur,Kanchipuram,13,9,5,"AIADMK:1, INC:1, NTK:1, TVK:1, IND:5",Selvaperunthagai,INC,Palani,ADMK,10879,73.94,375921,181852,194007,62,Selvaperunthagai,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
30,Pallavaram,pallavaram,Chengalpattu,23,13,11,"AIADMK:1, NTK:1, TVK:1, BSP:1, IND:11",Karunanithi,DMK,Rajendran,ADMK,37781,60.86,330217,161197,168996,24,Karunanithi,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
31,Tambaram,tambaram,Chengalpattu,15,10,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Raja.S.R,DMK,Chinnaiyah.T.K.M,ADMK,36824,59.55,323677,157580,166046,51,Raja.S.R,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
32,Chengalpattu,chengalpattu,Chengalpattu,15,7,9,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Varalakshmi.M,DMK,Gajendran.M,ADMK,26665,63.54,366400,178076,188267,57,Varalakshmi.M,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
33,Thiruporur,thiruporur,Chengalpattu,11,8,4,"NTK:1, TVK:1, BSP:1, IND:4, MMK:1",S.S.Balaji,VCK,Arumugam.K,PMK,1947,76.36,289401,140991,148359,51,S.S.Balaji,VCK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
34,Cheyyur,cheyyur,Chengalpattu,13,7,7,"AIADMK:1, NTK:1, TVK:1, IND:7, AIPTMMK:1",Babu M,VCK,Kanitha S,ADMK,4042,77.88,202055,100103,101934,18,Babu M,VCK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
35,Madurantakam,madurantakam,Chengalpattu,9,8,2,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Maragatham. K,ADMK,Sathya. C.E,DMK,3570,80.65,,,,,Maragatham. K,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
36,Uthiramerur,uthiramerur,Kanchipuram,14,7,8,"DMK:1, NTK:1, TVK:1, IND:8, DMSK:1",Sundar K,DMK,Somasundaram V,ADMK,1622,80.1,243922,118564,125300,58,Sundar K,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
37,Kancheepuram,kancheepuram,Kanchipuram,15,8,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:8",C.V.M.P. Ezhailzrasan,DMK,P. Magesh Kumar,PMK,11595,73.28,276299,133825,142437,37,C.V.M.P. Ezhailzrasan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
38,Arakkonam,arakkonam,Ranipet,13,8,6,"AIADMK:1, NTK:1, TVK:1, BSP:1, IND:6",S.Ravi,ADMK,Gowthama Sannah.J,VCK,27169,74.89,,,,,S.Ravi,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
39,Sholinghur,sholinghur,Ranipet,23,9,15,"INC:1, NTK:1, TVK:1, BSP:1, IND:15",A.M.Munirathinam,INC,A.M.Krishnan,PMK,26698,80.09,256118,126034,130072,12,A.M.Munirathinam,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
40,Katpadi,katpadi,Vellore,15,10,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Duraimurugan,DMK,V Ramu,ADMK,746,74.0,225809,108863,116914,32,Duraimurugan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
41,Ranipet,ranipet,Ranipet,15,8,8,"DMK:1, BJP:1, NTK:1, TVK:1, BSP:1",R.Gandhi,DMK,S.M.Sugumar,ADMK,16498,77.24,245853,119090,126719,44,R.Gandhi,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
42,Arcot,arcot,Ranipet,14,10,5,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",J.L.Eswarappan,DMK,Elavazagan.K.L,PMK,19958,79.62,243565,119107,124429,29,J.L.Eswarappan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
43,Vellore,vellore,Vellore,15,12,4,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:4",Karthikeyan .P,DMK,Appu S.R.K,ADMK,9181,70.25,211063,101554,109460,49,Karthikeyan .P,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
44,Anaikattu,anaikattu,Vellore,13,9,5,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:5",A.P.Nandakumar,DMK,D.Velazhagan,ADMK,6360,77.05,234738,113833,120863,42,A.P.Nandakumar,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
45,Kilvaithinankuppam,kilvaithinankuppam,Vellore,11,7,5,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:5",M.Jagan Moorthy,ADMK,K Seetharaman,DMK,10582,76.5,213451,104458,108985,8,M.Jagan Moorthy,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
46,Gudiyattam,gudiyattam,Vellore,11,8,4,"AIADMK:1, NTK:1, TVK:1, BSP:1, IND:4",Amulu.V,DMK,Paritha.G,ADMK,6901,72.56,,,,,Amulu.V,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
47,Vaniyambadi,vaniyambadi,Tirupathur,15,9,7,"AIADMK:1, NTK:1, TVK:1, BSP:1, IND:7",G.Sendhil Kumar,ADMK,N.Mohammed Nayeem,IUML,4904,75.55,,,,,G.Sendhil Kumar,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
48,Ambur,ambur,Tirupathur,16,11,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Vilwanathan.A.C,DMK,Nazar Mohamed.K,ADMK,20232,74.01,212631,103478,109113,40,Vilwanathan.A.C,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
49,Jolarpet,jolarpet,Tirupathur,19,11,9,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Devaraji.K.,DMK,Veeramani.K.C.,ADMK,1091,80.98,233830,115656,118154,20,Devaraji.K.,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
50,Tirupathur,tirupathur,Tirupathur,24,11,14,"DMK:1, NTK:1, TVK:1, BSP:1, IND:14",A. Nallathambi,DMK,Kr.Periyakaruppan,DMK,28240,76.97,273456,134270,139183,3,A. Nallathambi,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
51,Uthangarai,uthangarai,Krishnagiri,13,9,5,"AIADMK:1, INC:1, NTK:1, TVK:1, IND:5",T.M.Tamilselvam,ADMK,S.Arumugam,INC,28387,78.37,233500,116918,116541,41,T.M.Tamilselvam,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
52,Bargur,bargur,Krishnagiri,15,10,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Mathiazhagan D,DMK,Krishnan A,ADMK,12614,79.08,237349,117135,120197,17,Mathiazhagan D,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
53,Krishnagiri,krishnagiri,Krishnagiri,15,10,6,"AIADMK:1, INC:1, NTK:1, TVK:1, BSP:1",Ashokkumar.K,ADMK,Senguttuvan.T,DMK,794,78.5,265037,129777,135200,60,Ashokkumar.K,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
54,Veppanahalli,veppanahalli,Krishnagiri,13,8,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:6",K.P.Munusamy,ADMK,P.Murugan,DMK,3054,81.31,243875,123389,120449,37,K.P.Munusamy,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
55,Hosur,hosur,Krishnagiri,13,7,7,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:7",Prakaash Y,DMK,Jyothi S,ADMK,12367,70.09,338295,169099,169124,72,Prakaash Y,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
56,Thalli,thalli,Krishnagiri,10,7,4,"BJP:1, NTK:1, TVK:1, IND:4, AMK:1",Ramachandran.T,CPI,Dr.Nagesh Kumar.C,BJP,56226,77.06,235984,120000,115947,37,Ramachandran.T,CPI,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
57,Palacode,palacode,Dharmapuri,14,8,7,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:7",Anbalagan.K.P.,ADMK,Murugan.P.K.,DMK,28100,87.37,,,,,Anbalagan.K.P.,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
58,Pennagaram,pennagaram,Dharmapuri,22,9,14,"INC:1, NTK:1, TVK:1, BSP:1, IND:14",Mani. G.K,PMK,Inbasekaran. P.N.P,DMK,21186,85.0,246293,126763,119521,9,Mani. G.K,PMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
59,Dharmapuri,dharmapuri,Dharmapuri,19,10,10,"NTK:1, TVK:1, IND:10, AJPK:1, DMDK:1",Venkateshwaran.S.P.,PMK,Subramani.P,DMK,26860,79.69,257939,129393,128464,82,Venkateshwaran.S.P.,PMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
60,Pappireddipatti,pappireddipatti,Dharmapuri,14,9,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:6",Govindasamy.A,ADMK,Prabhurajasekar.M,DMK,36943,82.15,,,,,Govindasamy.A,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
61,Harur,harur,Dharmapuri,14,11,4,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Sampathkumar.V,ADMK,Kumar.A,CPM,30362,78.46,243742,121453,122264,25,Sampathkumar.V,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
62,Chengam,chengam,Tiruvannamalai,15,8,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:8",Giri.M.P,DMK,Nainakannu.M.S,ADMK,11570,80.66,266629,132571,134045,13,Giri.M.P,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
63,Tiruvannamalai,tiruvannamalai,Tiruvannamalai,30,12,19,"DMK:1, BJP:1, NTK:1, TVK:1, BSP:1",E V Velu,DMK,S Thanigaivel,BJP,94673,71.69,247309,119784,127477,48,E V Velu,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
64,Kilpennathur,kilpennathur,Tiruvannamalai,23,9,15,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:15",K.Pitchandi,DMK,K.Selvakumar,PMK,26787,79.35,238913,117840,121058,15,K.Pitchandi,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
65,Kalasapakkam,kalasapakkam,Tiruvannamalai,21,8,14,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:14",Saravanan.P.S.T,DMK,Panneerselvam.V,ADMK,9222,80.36,230766,114155,116592,19,Saravanan.P.S.T,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
66,Polur,polur,Tiruvannamalai,15,10,6,"NTK:1, TVK:1, IND:6, ACDP:1, AJPK:1",Agri Krishnamurthy. S S,ADMK,Sekaran. K.V,DMK,9725,82.33,232426,114221,118196,9,Agri Krishnamurthy. S S,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
67,Arani,arani,Tiruvannamalai,24,10,15,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:15",S.Ramachandran,ADMK,S.S.Anbalagan,DMK,3128,79.84,253022,123335,129650,37,S.Ramachandran,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
68,Cheyyar,cheyyar,Tiruvannamalai,13,12,2,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:2",Jothi. O,DMK,Dusi. K. Mohan,ADMK,12271,81.69,238283,117159,121115,9,Jothi. O,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
69,Vandavasi,vandavasi,Tiruvannamalai,15,9,7,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:7",Ambethkumar S,DMK,Murali S,PMK,35953,76.81,211811,104662,107144,5,Ambethkumar S,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
70,Gingee,gingee,Villupuram,19,11,9,"DMK:1, NTK:1, TVK:1, BSP:1, IND:9",Masthan K S,DMK,Rajendiran P,PMK,35803,78.21,240957,119278,121651,28,Masthan K S,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
71,Mailam,mailam,Villupuram,21,14,8,"AIADMK:1, NTK:1, TVK:1, BSP:1, IND:8",Sivakumar C,PMK,Dr. Masilamani R,DMK,2230,79.5,207665,103451,104195,19,Sivakumar C,PMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
72,Tindivanam,tindivanam,Villupuram,14,9,6,"AIADMK:1, NTK:1, TVK:1, BSP:1, IND:6",Arjunan P,ADMK,Seethapathy P,DMK,9753,78.43,217609,106762,110836,11,Arjunan P,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
73,Vanur,vanur,Villupuram,15,8,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Chakrapani M,ADMK,Vanni Arasu,VCK,21727,79.79,207984,101938,106030,16,Chakrapani M,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
74,Viluppuram,viluppuram,Villupuram,24,8,17,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Lakshmanan R,DMK,Shanmugam C Ve,ADMK,14868,76.97,,,,,Lakshmanan R,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
75,Vikravandi,vikravandi,Villupuram,24,12,13,"DMK:1, NTK:1, TVK:1, BSP:1, IND:13",Pugazhenthi N,DMK,Muthamilselvan R,ADMK,9573,81.39,227355,112050,115276,29,Pugazhenthi N,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
76,Tirukkoyilur,tirukkoyilur,Villupuram,15,8,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",K.Ponmudy,DMK,Vat.Kalivaradhan,BJP,59680,76.27,241003,121023,119948,32,K.Ponmudy,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
77,Ulundurpettai,ulundurpettai,Kallakurichi,14,7,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:8",Manikannan A J,DMK,Kumaraguru R,ADMK,5256,82.62,,,,,Manikannan A J,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
78,Rishivandiyam,rishivandiyam,Kallakurichi,25,11,15,"DMK:1, NTK:1, TVK:1, BSP:1, IND:15",Karthikeyan K,DMK,Santhosh S A,ADMK,41728,80.18,,,,,Karthikeyan K,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
79,Sankarapuram,sankarapuram,Kallakurichi,22,10,13,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Udhayasuriyan T,DMK,Dr.Raja G,PMK,45963,79.58,263136,130231,132859,46,Udhayasuriyan T,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
80,Kallakurichi,kallakurichi,Kallakurichi,11,5,7,"AIADMK:1, NTK:1, TVK:1, IND:7, VCK:1",Senthilkumar.M,ADMK,Manirathinem.K.I,INC,25891,78.16,278762,137649,141044,69,Senthilkumar.M,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
81,Gangavalli,gangavalli,Salem,13,9,5,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1","Nallathambi,A.",ADMK,"Rekha Priyadharshini,J.",DMK,7361,77.11,216794,105720,111067,7,"Nallathambi,A.",ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
82,Attur,attur,Salem,15,8,8,"AIADMK:1, INC:1, NTK:1, TVK:1, BSP:1","Jayasankaran, A.P.",ADMK,"Chinnadurai, K.",DMK,8257,77.26,226481,109943,116517,21,"Jayasankaran, A.P.",ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
83,Yercaud,yercaud,Salem,13,8,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",G. Chitra,ADMK,C. Tamilselvan,DMK,25955,83.09,270529,132685,137827,17,G. Chitra,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
84,Omalur,omalur,Salem,15,7,9,"AIADMK:1, NTK:1, TVK:1, IND:9, AJPK:1",R.Mani,ADMK,Rangarajan Mohan Kumaramangalam,INC,55294,83.28,291866,148764,143081,21,R.Mani,ADMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
